ID,PASAL,AYAT,ISI,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,ISI8,ISI9
12,1,12,"12. Gerai Maritim adalah kegiatan untuk memfasilitasi pendistribusian barang dari dan ke daerah tertinggal, terpencil, terluar, dan perbatasan dengan tujuan meningkatkan kelancaran distribusi dan potensi perekonomian daerah serta mengurangi disparitas harga."," "," "," "," "," "," "," "," "," "
13,1,13,"13. Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan."," "," "," "," "," "," "," "," "," "
14,2,1,"(1) Pengaturan kegiatan Perdagangan Antarpulau bertujuan untuk integrasi pasar dalam negeri."," "," "," "," "," "," "," "," "," "
15,2,2,"(2) Pengaturan kegiatan Perdagangan Antarpulau sebagaimana dimaksud pada ayat (1) diarahkan untuk: ","a.menjaga keseimbangan antardaerah yang surplus dan daerah yang minus, "," b.memperkecil kesenjangan harga antardaerah,  ","c.mengamankan distribusi barang yang dibatasi perdagangannya, ","d.mengembangkan pemasaran produk unggulan setiap daerah, ","e.menyediakan sarana dan prasarana Perdagangan Antarpulau, "," f.mencegah masuk dan beredarnya barang selundupan di dalam negeri,  ","g.mencegah penyelundupan barang keluar negeri, dan  "," h.meniadakan hambatan Perdagangan Antarpulau. "," "
16,3,1,"(1) Semua barang dapat diperdagangkan antarpulau."," "," "," "," "," "," "," "," "," "
17,3,2,"(2) Barang sebagaimana dimaksud pada ayat (1) mencakup barang produksi dalam negeri, asal impor, maupun tujuan ekspor."," "," "," "," "," "," "," "," "," "
18,4,1,"(1) Barang yang diperdagangkan antarpulau sebagaimana dimaksud dalam Pasal 3 wajib dilengkapi dengan Daftar Muatan (Manifes Domestik) Antarpulau."," "," "," "," "," "," "," "," "," "
19,4,2,"(2) Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud pada ayat (1) paling sedikit memuat data dan/atau informasi mengenai: ","a.Pemilik Muatan (Cargo Owner) Antarpulau,  "," b.barang yang diperdagangkan antarpulau, "," c.pengangkutan barang yang diperdagangkan antarpulau, dan "," d.penerima muatan."," "," "," "," "," "
20,4,3,"(3) Kewajiban melengkapi Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud pada ayat (1) dilaksanakan oleh Pemilik Muatan (Cargo Owner) Antarpulau secara elektronik melalui SINSW."," "," "," "," "," "," "," "," "," "
21,4,4,"(4) Pemilik Muatan (Cargo Owner) Antarpulau sebagaimana dimaksud pada ayat (3) wajib mencantumkan data dan/atau informasi dalam Daftar Muatan (Manifes Domestik) Antarpulau secara lengkap dan benar."," "," "," "," "," "," "," "," "," "
22,5,1,"(1) SINSW sebagaimana dimaksud dalam Pasal 4 ayat (3) terintegrasi dengan sistem SIPT."," "," "," "," "," "," "," "," "," "
23,5,2,"(2) SIPT menerbitkan nomor laporan atas penyampaian Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud pada ayat (1)."," "," "," "," "," "," "," "," "," "
24,6,1,"(1) Untuk dapat menyampaikan Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud dalam Pasal 4 ayat (3), Pemilik Muatan (Cargo Owner) Antarpulau harus memiliki hak akses SINSW."," "," "," "," "," "," "," "," "," "
25,6,2,"(2) Hak akses SINSW sebagaimana dimaksud pada ayat (1) diperoleh dengan menyampaikan permohonan hak akses SINSW kepada Lembaga National Single Windowsesaai dengan ketentuan peraturan perundang-undangan."," "," "," "," "," "," "," "," "," "
26,6,3,"(3) Lembaga National Single Windowsebagaimana dimaksud pada ayat (2) memberikan hak akses SINSW dengan mempertimbangkan validitas Nomor Induk Berusaha."," "," "," "," "," "," "," "," "," "
27,7,1,"(1) Nomor laporan atas penyampaian Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud dalam Pasal 5 ayat (2) digunakan sebagai referensi penerbitan shipping instruction oleh PJPT."," "," "," "," "," "," "," "," "," "
28,7,2,"(2) Shipping instruction sebagaimana dimaksud pada ayat. (1) digunakan untuk keperluan bongkar muat barang kapal di pelabuhan."," "," "," "," "," "," "," "," "," "
29,7,3,"(3) Penerbitan shipping instruction sebagaimana dimaksud pada ayat (1) dilakukan sesuai dengan ketentuan peraturan perundang-undangan di bidang perhubungan."," "," "," "," "," "," "," "," "," "
30,8,1,"(1) Dalam kondisi tertentu yang dapat mengganggu kegiatan perdagangan nasional atau dalam rangka kegiatan peningkatan akselerasi perdagangan, Menteri dapat menugaskan Pelaku Usaha untuk mendistribusikan barang melalui Perdagangan Antarpulau."," "," "," "," "," "," "," "," "," "
31,8,2,"(2) Kondisi tertentu sebagaimana dimaksud pada ayat (1) dapat berupa: ","a.bencana alam, wabah, atau konflik sosial, ","b.terjadinya kekurangan atau kelebihan pasokan, dan/atau   "," c.harga Barang Kebutuhan Pokok dan/atau Barang Penting berada di atas harga acuan atau di bawah harga acuan."," "," "," "," "," "," "
32,8,3,"(3) Dalam menugaskan Pelaku Usaha sebagaimana dimaksud pada ayat (1), Menteri dapat berkoordinasi dengan menteri dan/atau kepala lembaga terkait."," "," "," "," "," "," "," "," "," "
33,9,1,"Dalam mengembangkan Perdagangan Antarpulau, gubernur dan/atau bupati/wali kota sesuai dengan kewenangannya bertugas: ","a.menyelenggarakan sistem informasi perdagangan yang memuat data dan/atau informasi Perdagangan Antarpulau sesuai dengan ketentuan peraturan perundang-undangan mengenai sistem informasi perdagangan,  ","b.menyusun data produksi dan konsumsi barang yang diperdagangkan antarpulau,"," c.meningkatkan jumlah Pelaku Usaha yang melakukan kegiatan Perdagangan Antarpulau sesuai dengan kebutuhan pasar di daerahnya, "," d.memfasilitasi pemasaran produk unggulan masing masing daerah, "," e.mengoptimalkan muatan ruang kapal angkutan barang sebagai muatan balik untuk pemasaran produk unggulan dari daerahnya, ","f.menyusun kebijakan daerah yang memperlancar Perdagangan Antarpulau, dan  ","g.memfasilitasi kelancaran distribusi barang melalui Perdagangan Antarpulau.   "," "," "
34,10,1,"(1) Dalam rangka mendukung Perdagangan Antarpulau untuk barang tertentu, khususnya dari dan ke daerah tertinggal, terpencil, terluar dan perbatasan, dapat dilakukan melalui Gerai Maritim."," "," "," "," "," "," "," "," "," "
35,10,2,"(2) Barang tertentu sebagaimana dimaksud pada ayat (1) mengacu pada jenis barang tertentu sesuai dengan ketentuan peraturan perundang-undangan."," "," "," "," "," "," "," "," "," "
36,10,3,"3) Gerai Maritim sebagaimana dimaksud pada ayat (1) dilaksanakan oleh Kementerian Perdagangan bekerja sama dengan kementerian dan/atau lembaga terkait, pemerintah daerah, Pelaku Usaha yang melakukan kegiatan Perdagangan Antarpulau dan/atau pemangku kepentingan lainnya."," "," "," "," "," "," "," "," "," "
37,11,1,"Dalam mendistribusikan barang yang diperdagangkan antarpulau, Pelaku Usaha yang melakukan kegiatan Perdagangan Antarpulau dapat: ","a. melakukan kerja sama dengan swasta, badan usaha milik negara, badan usaha milik daerah, koperasi dan perbankan, ","b.memanfaatkan program promosi untuk produk unggulan daerah setempat,   ","c.memanfaatkan pusat distribusi yang ada di daerah,  "," d.memanfaatkan sarana dan prasarana Perdagangan Antarpulau, atau "," e.memanfaatkan program lainnya yang berkaitan dengan Perdagangan Antarpulau."," "," "," "," "
38,12,1,"(1) Dalam hal pengaturan kegiatan Perdagangan Antarpulau dimaksudkan untuk mengamankan distribusi barang yang dibatasi perdagangannya, mencegah masuk dan beredarnya barang selundupan di dalam negeri, serta mencegah penyelundupan barang ke luar negeri, Menteri dapat menetapkan kewajiban: "," a. pendaftaran bagi Pelaku Usaha yang melakukan kegiatan Perdagangan Antarpulau barang tertentu, ","b. persetujuan Perdagangan Antarpulau, dan/atau "," c. verifikasi atau penelusuran teknis. "," "," "," "," "," "," "
39,12,2,"(2) Ketentuan lebih lanjut mengenai kewajiban sebagaimana dimaksud pada ayat (1) diatur dengan Peraturan Menteri."," "," "," "," "," "," "," "," "," "
40,13,1,"(1) Menteri berwenang melakukan pembinaan dan pengawasan pelaksanaan Perdagangan Antarpulau."," "," "," "," "," "," "," "," "," "
41,13,2,"(2) Dalam melakukan pembinaan dan pengawasan pelaksanaan Perdagangan Antarpulau sebagaimana dimaksud pada ayat (1), Menteri dapat berkoordinasi dengan menteri, kepala lembaga terkait, dan/atau kepala daerah sesuai dengan kewenangannya. "
42,13,3,"(3) Menteri mendelegasikan kewenangan pembinaan pelaksanaan Perdagangan Antarpulau sebagaimana dimaksud pada ayat (1) kepada Direktur Jenderal Perdagangan Dalam Negeri."," "," "," "," "," "," "," "," "," "
43,13,4,"(4) Menteri mendelegasikan kewenangan pengawasan pelaksanaan Perdagangan Antarpulau sebagaimana dimaksud pada ayat (1) kepada Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga."," "," "," "," "," "," "," "," "," "
44,14,1,"(1) Dalam rangka melakukan pembinaan Perdagangan Antarpulau sebagaimana dimaksud dalam Pasal 13 ayat (3), Direktur Jenderal Perdagangan Dalam Negeri dapat melakukan pemantauan terhadap: ","a.pelaksanaan penyampaian Daftar Muatan (Manifes Domestik) Antarpulau,  ","b.pendistribusian barang melalui Perdagangan Antarpulau oleh Pelaku Usaha dalam rangka melaksanakan penugasan Menteri sebagaimana dimaksud dalam Pasal 8, "," c.pengembangan Perdagangan Antarpulau oleh gubernur dan/atau bupati/walikota sebagaimana dimaksud dalam Pasal 9, dan ","d.pelaksanaan Gerai Maritim.  "," "," "," "," "," "
45,14,2,"(2) Selain melakukan pemantauan sebagaimana dimaksud pada ayat (1), pembinaan juga dapat dilakukan melalui sosialisasi, fasilitasi, dan konsultasi kepada Pelaku Usaha atau pemangku kepentingan lainnya."," "," "," "," "," "," "," "," "," "
46,14,3,"(3) Dalam hal berdasarkan hasil pemantauan sebagaimana dimaksud pada ayat (1) huruf a, ditemukan dugaan pelanggaran terhadap ketentuan Peraturan Menteri ini, Direktur Jenderal Perdagangan Dalam Negeri menyampaikan rekomendasi untuk dilakukan pengawasan terhadap Pemilik Muatan oleh Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga."," "," "," "," "," "," "," "," "," "
47,15,1,"(1) Pengawasan Perdagangan Antarpulau sebagaimana dimaksud dalam Pasal 13 ayat (4), dilakukan terhadap: ","a. kepatuhan penyampaian Daftar Muatan (Manifes Domestik) Antarpulau, dan/atau  "," b. kelengkapan dan/atau kebenaran data dan/atau informasi yang tercantum dalam Daftar Muatan (Manifes Domestik) Antarpulau."," "," "," "," "," "," "," "
48,15,2,"(2) Pengawasan sebagaimana dimaksud pada ayat (1) dilakukan secara berkala 2 (dua) kali dalam 1 (satu) tahun dan sewaktu-waktu apabila diperlukan."," "," "," "," "," "," "," "," "," "
49,16,1,"(1) Pemilik Muatan (Cargo Owner} Antarpulau yang tidak menyampaikan Daftar Muatan (Manifes Domestik) Antarpulau sebagaimana dimaksud dalam Pasal 4 ayat (1), dikenai sanksi administratif, berupa: ","a.peringatan tertulis, atau . "," b.rekomendasi pencabutan Nomor Induk Berusaha (NIB)"," "," "," "," "," "," "," "
50,16,2,"(2) Peringatan tertulis sebagaimana dimaksud pada ayat (1) huruf a diberikan paling banyak 2 (dua) kali dengan ketentuan masing-masing peringatan tertulis untuk setiap pengiriman yang tidak menyampaikan Daftar Muatan (Manifes Domestik) Antarpulau."," "," "," "," "," "," "," "," "," "
51,16,3,"(3) Dalam hal Pemilik Muatan (Cargo Owner) Antarpulau telah dikenakan peringatan tertulis kedua dan tidak menyampaikan Daftar Muatan (Manifes Domestik) Antarpulau pada pengiriman selanjutnya, Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga menyampaikan rekomendasi pencabutan NIB kepada Lembaga OSS."," "," "," "," "," "," "," "," "," "
52,17,1,"(1) Pemilik Muatan (Cargo Owner} Antarpulau yang tidak mencantumkan data dan/atau informasi dalam Daftar Muatan (Manifes Domestik) Antarpulau secara lengkap dan benar sebagaimana dimaksud dalam Pasal 4 ayat (4) dikenai sanksi administratif, berupa: ","a. peringatan tertulis, atau  ","b. rekomendasi pencabutan Nomor Induk Berusaha (NIB). "," "," "," "," "," "," "," "
53,17,2,"(2) Peringatan tertulis sebagaimana dimaksud pada ayat (1) huruf a diberikan paling banyak 1 (satu) kali oleh Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga."," "," "," "," "," "," "," "," "," "
54,17,3,"(3) Dalam hal Pemilik Muatan (Cargo Owner} Antarpulau telah dikenakan peringatan tertulis namun tetap tidak mencantumkan data dan/atau informasi dalam Daftar Muatan (Manifest Domestik) Antarpulau secara lengkap dan benar pada pengiriman selanjutnya, Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga menyampaikan rekomendasi pencabutan NIB kepada Lembaga OSS."," "," "," "," "," "," "," "," "," "
55,18,1,"Terhadap Pemilik Muatan (Cargo Owner) Antarpulau yang telah dilakukan pencabutan NIB sesuai dengan ketentuan peraturan perundang-undangan hanya dapat mengajukan kembali permohonan NIB setelah 3 (tiga) tahun terhitung sejak tanggal pencabutan NIB oleh Lembaga OSS."," "," "," "," "," "," "," "," "," "
56,19,1,"Pada saat Peraturan Menteri ini mulai berlaku: ","a.Peraturan Menteri Perdagangan Nomor 27/M-DAG/PER/6/2016 tentang Perdagangan Antarpulau Rotan (Berita Negara Republik Indonesia Tahun 2015 Nomor 717),dan  "," b.Peraturan Menteri Perdagangan Nomor 29/M-DAG/PER/5/2017 tentang Perdagangan Antarpulau (Berita Negara Republik Indonesia Tahun 2017 Nomor 720), dicabut dan dinyatakan tidak berlaku."," "," "," "," "," "," "," "
57,20,1,"Peraturan Menteri ini mulai berlaku setelah 1 (satu) tahun terhitung sejak tanggal diundangkan."," "," "," "," "," "," "," "," "," "
