ID,Glosary,Dasar,ISI
13,OSS,Permendag 18 th 2018,"Perizinan Berusaha Terintegrasi Secara Elektronik atau Online Single Submission yang selanjutnya disingkat OSS adalah Perizinan Berusaha yang diterbitkan oleh lembaga OSS untuk dan atas nama menteri, pimpinan lembaga, gubernur, atau bupati/wali kota kepada Pelaku Usaha melalui sistem elektronik yang terintegrasi."
14,Lembaga OSS,Permendag 18 th 2018,"Lembaga Pengelola dan Penyelenggara OSS yang selanjutnya disebut Lembaga OSS adalah lembaga pemerintahan non kementerian yang menyelenggarakan urusan pemerintahan di bidang koordinasi penanaman modal."
15,Lembaga OSS,Permendag 92 th 2020,"Lembaga Pengelola dan Penyelenggara OSS yang selanjutnya disebut Lembaga OSS adalah lembaga pemerintah non kementerian yang menyelenggarakan urusan pemerintahan di bidang koordinasi penanaman modal."
16,NIB,Permendag 18 th 2018,"Nomor Induk Berusaha yang selanjutnya disingkat NIB adalah identitas Pelaku Usaha yang diterbitkan oleh Lembaga OSS setelah Pelaku Usaha melakukan Pendaftaran."
17,Menteri,Permendag 18 th 2018,"Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan."
18,Menteri,Permendag 92 th 2020,"Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan."
19,Direktur Jenderal,Permendag 18 th 2018,"Direktur Jenderal adalah Direktur Jenderal Perlindungan Kosumen dan Tertib Niaga, Kementerian Perdagangan."
20,Perdagangan Antarpulau,Permendag 92 th 2020,"Perdagangan Antarpulau adalah kegiatan perdagangan dan/atau pendistribusian barang dari satu pulau ke pulau lain dalam satu provinsi atau antarprovinsi, atau antardaerah dalam satu pulau yang dilakukan oleh Pelaku Usahadengan cara menyeberangkan barang dimaksud dengan menggunakan sarana angkutan laut atau sungai."
21,Pelaku Usaha ,Permendag 92 th 2020,"Pelaku Usaha adalah setiap orang perseorangan warga negara Indonesia atau badan usaha yang berbentuk badan hukum atau bukan badan hukum yang didirikan dan berkedudukan dalam wilayah hukum Negara Kesatuan Republik Indonesia yang melakukan kegiatan usaha di bidang perdagangan."
22,Pemilik Muatan (Cargo Owner) Antarpulau,Permendag 92 th 2020,"Pemilik Muatan (Cargo Owner) Antarpulau adalah Pelaku Usaha yang yang memiliki muatan yang akan diperdagangkan antarpulau."
23,PJPT,Permendag 92 th 2020,"Perusahaan Jasa Pengurusan Transportasi yang selanjutnya disingkat PJPT adalah badan usaha yang melakukan kegiatan mengurus semua kegiatan yang diperlukan bagi terlaksananya pengiriman dan penerimaan barang melalui angkutan laut."
24,Barang Kebutuhan Pokok,Permendag 92 th 2020,"Barang Kebutuhan Pokok adalah barang yang menyangkut hajat hidup orang banyak dengan skala pemenuhan kebutuhan yang tinggi serta menjadi faktor pendukung kesejahteraan masyarakat."
25,Barang Penting ,Permendag 92 th 2020,"Barang Penting adalah barang strategis yang berperan penting dalam menentukan kelancaran pembangunan nasional."
26,Daftar Muatan Antarpulau,Permendag 92 th 2020,"Daftar Muatan (Manifes Domestik) Antarpulau adalah dokumen yang berisi data dan/atau informasi terkait Perdagangan Antarpulau."
27,SIPT,Permendag 92 th 2020,"Sistem Informasi Perizinan Terpadu yang selanjutnya disingkat SIPT adalah sistem pelayanan perizinan perdagangan dalam negeri pada Kementerian Perdagangan yang dilakukan secara daring melalui situs web  http://sipt. kemendaq. go. id"
28,SNISW,Permendag 92 th 2020,"Sistem Indonesia National Single Windowyang selanjutnya disingkat SINSW adalah sistem elektronik yang mengintegrasikan sistem dan/atau informasi berkaitan dengan proses penanganan dokumen kepabeanan, dokumen kekarantinaan, dokumen perizinan, dokumen kepelabuhanan, kebandarudaraan, dan dokumen lain, yang terkait dengan ekspor dan/atau impor, yang menjamin keamanan data dan informasi serta memadukan alur dan proses informasi antar sistem internal secara otomatis."
29,Lembaga National Single Window ,Permendag 92 th 2020,"Lembaga National Single Window adalah unit yang bertugas melaksanakan pengelolaan Indonesia National Single Window dan penyelenggaraan SINSW dalam penanganan dokumen kepabeanan, dokumen kekarantinaan, dokumen perizinan, dokumen kepelabuhanan/kebandarudaraan, dan dokumen lain, yang terkait dengan ekspor dan/atau impor secara elektronik."
30,Gerai Maritim,Permendag 92 th 2020,"Gerai Maritim adalah kegiatan untuk memfasilitasi pendistribusian barang dari dan ke daerah tertinggal, terpencil, terluar, dan perbatasan dengan tujuan meningkatkan kelancaran distribusi dan potensi perekonomian daerah serta mengurangi disparitas harga."
